id,interseccion,latitud,longitud,coordenadas
0,Eje 5 Norte-Instituto Politécnico Nacional,19.49075,-99.1335,"19.49075,-99.1335"
1,Eje Central-Pte 112,19.47678,-99.1398,"19.47678,-99.1398"
2,Eje 1 Norte Av. Del Trabajo-F.C. de Cintura,19.44102,-99.1212,"19.44102,-99.1212"
3,Eje 1 Norte-Eje 1 Ote,19.44261,-99.1231,"19.44261,-99.1231"
4,Eje 8 Sur-Av. Tláhuac,19.35606,-99.1056,"19.35606,-99.1056"
5,Eje 8 Sur-Av. San Lorenzo,19.35098,-99.0749,"19.35098,-99.0749"
6,Eje 5 Ote-Gavilán,19.36436,-99.0829,"19.36436,-99.0829"
7,Eje 4 Ote Av. Río Churubusco-Unión,19.41758,-99.0716,"19.41758,-99.0716"
8,Av. Insurgentes Sur-Vito Alessio Robles,19.35041,-99.1865,"19.35041,-99.1865"
9,Carr. Picacho Ajusco-Tizim?n,19.28953,-99.2176,"19.28953,-99.2176"
10,Eje 10 Sur-Delfín Madrigal,19.33597,-99.173,"19.33597,-99.173"
11,Av. México-Camino Real de Contreras,19.30599,-99.234,"19.30599,-99.234"
12,Prolongación División del Norte-Muyuguarda,19.27403,-99.12,"19.27403,-99.12"
13,Prolongación División del Norte-Av. Guadalupe I. Ramírez,19.26614,-99.1155,"19.26614,-99.1155"
14,Av. Hidalgo - Paseo de la Reforma,19.4374078,-99.1463821,"19.4374078,-99.1463821"
15,Av. Paseo de la Reforma - Av. Acuario,19.4249928,-99.1877541,"19.4249928,-99.1877541"
16,Av. Paseo de la Reforma - Chivatito,19.4256879,-99.1920059,"19.4256879,-99.1920059"
17,Av. Paseo de la Reforma - Lieja,19.4232778,-99.1755968,"19.4232778,-99.1755968"
18,Av. Ceylán - Cerrada Ceylán,19.4818726,-99.1652736,"19.4818726,-99.1652736"
19,Av. Ceylán - Poniente 128,19.4924549,-99.169381,"19.4924549,-99.169381"
20,Av. Ceylán - Privada Ceylán,19.4942467,-99.1701076,"19.4942467,-99.1701076"
21,Av. Insurgentes Sur - Eje 2 Nte Monterrey - Colima - Tabasco - El Oro,19.4189858,-99.1645847,"19.4189858,-99.1645847"
22,División del Norte y Eje 8 Sur,19.3617743,-99.1542747,"19.3617743,-99.1542747"
23,División de Norte y San Borja,19.3834223,-99.1604376,"19.3834223,-99.1604376"
24,Eje 3 Sur Dr. Morones Prieto Y Dr. José María Vertiz,19.4069013,-99.1497264,"19.4069013,-99.1497264"
25,Eje Central y J.M. Izazaga,19.4267352,-99.1420478,"19.4267352,-99.1420478"
26,Eje 5 Sur Purísima y Circuito Interior Churubusco,19.3781779,-99.1015238,"19.3781779,-99.1015238"
27,"Circuito Interior Av. Revolución, Eje 4 Sur Benjamín Franklin y Av. Jalisco",19.4077552,-99.1842062,"19.4077552,-99.1842062"
28,Calz. Ignacio Zaragoza y Eje 7 Ote. Guelatao y Juan Crisostomo Bonilla,19.3859113,-99.0370459,"19.3859113,-99.0370459"
29,División del Norte y Enrique Rebsamen,19.3846601,-99.1608197,"19.3846601,-99.1608197"
30,Eje 2 Pte. - Av División del Norte,19.389592,-99.163468,"19.389592,-99.163468"
31,Eje 3 Norte-Calzada de Guadalupe,19.46789,-99.1238,"19.46789,-99.1238"
32,Acueducto-Av. Insurgentes Norte,19.50172,-99.1175,"19.50172,-99.1175"
33,Eje 5 Nte -Av. Gran Canal del Desagüe,19.47666,-99.0917,"19.47666,-99.0917"
34,Eje 6 Sur-Plutarco Elías Calles,19.37732,-99.1355,"19.37732,-99.1355"
35,Eje 1 Norte Av. Hangares FAM-Santos Dumont,19.41742,-99.0783,"19.41742,-99.0783"
36,Eje 4 Ote Av. Río Churubusco-Benito Coquet,19.41868,-99.0706,"19.41868,-99.0706"
37,Universidad-Eje 10 Sur,19.3375,-99.184,"19.3375,-99.184"
38,Revolución-Altavista,19.34868,-99.1906,"19.34868,-99.1906"
39,Av. Vasco de Quiroga-Carlos Echanove,19.36095,-99.2804,"19.36095,-99.2804"
40,Eje 10 Sur-Cerro del Agua,19.33616,-99.1761,"19.33616,-99.1761"
41,Revolución-Altamirano,19.33985,-99.1917,"19.33985,-99.1917"
42,Av. Ojo de Agua-Av. San Jerónimo,19.31259,-99.2597,"19.31259,-99.2597"
43,Av. Insurgentes Sur-Ayuntamiento,19.29288,-99.1782,"19.29288,-99.1782"
44,Calz. Tláhuac Chalco-Av. Acueducto-Rafael Castillo,19.26597,-98.9994,"19.26597,-98.9994"
45,Prolongación División del Norte-Av. San Lorenzo,19.28283,-99.1251,"19.28283,-99.1251"
46,Calzada de Tlalpan-Renato Leduc,19.2979,-99.1521,"19.2979,-99.1521"
47,Blvd. López Portillo-Miguel Hidalgo,19.20348,-99.0029,"19.20348,-99.0029"
48,Av. Insurgentes Sur-San Fernando,19.29562,-99.1847,"19.29562,-99.1847"
49,Av. Chapultepec - Sevilla,19.4222382,-99.1701686,"19.4222382,-99.1701686"
50,Av. Chapultepec - Toledo,19.4219362,-99.1716543,"19.4219362,-99.1716543"
51,Av. Hidalgo - Valerio Trujano,19.4368968,-99.1439616,"19.4368968,-99.1439616"
52,Av. Paseo de la Reforma - Julio Verne,19.4266957,-99.1971462,"19.4266957,-99.1971462"
53,Av. Paseo de la Reforma - Anatole France,19.4268639,-99.1983436,"19.4268639,-99.1983436"
54,Av. Paseo de la Reforma - Gandhi (1),19.4240921,-99.1804468,"19.4240921,-99.1804468"
55,Av. Paseo de la Reforma-Gandhi (2),19.425618,-99.190208,"19.425618,-99.190208"
56,Av. Ceylán - Calle Aleutianas,19.4747551,-99.1619803,"19.4747551,-99.1619803"
57,Av. Ceylán - Cruce de Ferrocarril,19.5012088,-99.1728436,"19.5012088,-99.1728436"
58,Av. Ceylán - Calle Colombo,19.5039638,-99.1741072,"19.5039638,-99.1741072"
59,Divsión del Norte y Río Churubusco,19.3577266,-99.1530617,"19.3577266,-99.1530617"
60,Eje 1 Sur Fray Servando Teresa de Mier y Escuela Médico Militar – José A. Torres Xocongo,19.4235262,-99.1310239,"19.4235262,-99.1310239"
61,División del Norte y Uxmal,19.3744686,-99.1578862,"19.3744686,-99.1578862"
62,Eje 8 Sur José María Rico – Popocatépetl y Av. Universidad,19.3662812,-99.16761,"19.3662812,-99.16761"
63,Eje 1 A Sur José María Izazaga y José María Pino Suárez,19.4259648,-99.1330358,"19.4259648,-99.1330358"
64,Eje 1 Ote. Canal de Miramontes y Eje 9 Sur Taxqueña y Cerro del Teponaxtle,19.3411918,-99.1374037,"19.3411918,-99.1374037"
65,Eje 2 Ote. Calzada de la Viga y Río Churubusco,19.3692814,-99.1224294,"19.3692814,-99.1224294"
66,Pino Suárez y Venustiano Carranza,19.4308273,-99.1323634,"19.4308273,-99.1323634"
67,"Eje 1 Ote. Av. Del Trabajo, Eje 2 Nte. Canal del Norte y Circunvalación",19.4519889,-99.1247398,"19.4519889,-99.1247398"
68,Eje Central y Ricardo Flores Magón,19.4499365,-99.1384477,"19.4499365,-99.1384477"
69,Eje 4 Norte Azcapotzalco y Av. De las Granjas,19.4907184,-99.1734459,"19.4907184,-99.1734459"
70,Eje 8 Sur (Ermita Iztapalapa) y Eje 6 Sur,19.3524221,-99.0150819,"19.3524221,-99.0150819"
71,Eje 4 Pte Av. Revolución y Eje 10 Sur (Río Magdalena y Loreto),19.3386208,-99.192202,"19.3386208,-99.192202"
72,Av. Instituto Politécnico Nacional - Av. Ricarde,19.48841,-99.134,"19.48841,-99.134"
73,Eje 5 Norte-Eje 1 Ote,19.48238,-99.1064,"19.48238,-99.1064"
74,Eje 3 Norte-Eje 2 Ote (HCU),19.46385,-99.1123,"19.46385,-99.1123"
75,Instituto Politécnico Nacional-Pte. 112,19.47613,-99.1367,"19.47613,-99.1367"
76,Eje 8 Sur-Calzada de la Viga,19.35767,-99.1218,"19.35767,-99.1218"
77,Eje 8 Sur-Eje 5 Ote,19.35659,-99.0866,"19.35659,-99.0866"
78,Eje 6 Sur-Eje 1 Ote,19.37702,-99.1296,"19.37702,-99.1296"
79,Eje 10 Sur-Av. Aztecas,19.33379,-99.1513,"19.33379,-99.1513"
80,Insurgentes Sur-Universidad (Intersección bajo puente),19.33662572,-99.19015278,"19.33662572,-99.19015278"
