ID,Coordinates,Date,Hour,Variable,Classification,Description,Picture,,,,,,,,,,,,,,,,,,,
1,POINT Z (-99.14805874 19.43584790 0.000),11/22/2022,14:48:26.758,Physical aspects in poor condition,Trash on the street and facade in poor condition,,recolección de datos - centro_20221122_144859598.jpg,,,,,,,,,,,,,,,,,,,
2,POINT Z (-99.14824985 19.43535531 0.000),11/22/2022,14:50:00.035,Obstacles,Permanent,null,recolección de datos - centro_20221122_145100320.jpg,,,,,,,,,,,,,,,,,,,
3,POINT Z (-99.14839134 19.43540052 0.000),11/22/2022,14:52:07.044,Physical aspects in poor condition,Vandalized public telephone,,recolección de datos - centro_20221122_145235982.jpg,,,,,,,,,,,,,,,,,,,
4,POINT Z (-99.14897572 19.43552604 0.000),11/22/2022,14:54:03.639,Obstacles,Permanent,null,recolección de datos - centro_20221122_145417535.jpg,,,,,,,,,,,,,,,,,,,
5,POINT Z (-99.14866325 19.43580616 0.000),11/22/2022,14:55:56.078,Physical aspects in poor condition,Vandalized furniture,,recolección de datos - centro_20221122_145617424.jpg,,,,,,,,,,,,,,,,,,,
6,POINT Z (-99.14801113 19.43611506 0.000),11/22/2022,14:57:49.561,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
7,POINT Z (-99.14826930 19.43607965 0.000),11/22/2022,14:58:33.019,Physical aspects in poor condition,Facade in poor condition,,,,,,,,,,,,,,,,,,,,,
8,POINT Z (-99.14727889 19.43665729 0.000),11/22/2022,15:00:49.277,Obstacles,Mobile,null,recolección de datos - centro_20221122_150129591.jpg,,,,,,,,,,,,,,,,,,,
9,POINT Z (-99.14725307 19.43614794 0.000),11/22/2022,15:04:12.866,Incivility,Trash on the street,,recolección de datos - centro_20221122_150424947.jpg,,,,,,,,,,,,,,,,,,,
10,POINT Z (-99.14762825 19.43599460 0.000),11/22/2022,15:05:18.835,Incivility,grafiti,,recolección de datos - centro_20221122_150525732.jpg,,,,,,,,,,,,,,,,,,,
11,POINT Z (-99.14737277 19.43601009 0.000),11/22/2022,15:05:48.909,Obstacles,Permanent,null,recolección de datos - centro_20221122_150551982.jpg,,,,,,,,,,,,,,,,,,,
